file_id,speaker_id,emotion,label,wav_path,checkpoint,method,dims,x,y
0011_000351,11,Angry,0,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Angry/0011_000351.wav,epoch_00025.pth,pca,2,1.7630136341356462,3.256758979542179
0011_000352,11,Angry,0,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Angry/0011_000352.wav,epoch_00025.pth,pca,2,2.0976992664474645,2.2309846642862343
0011_000356,11,Angry,0,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Angry/0011_000356.wav,epoch_00025.pth,pca,2,2.363913788305874,2.7159482809953763
0011_000365,11,Angry,0,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Angry/0011_000365.wav,epoch_00025.pth,pca,2,2.3601479045944247,3.748881937949348
0011_000367,11,Angry,0,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Angry/0011_000367.wav,epoch_00025.pth,pca,2,3.275072543306178,2.5894701483480116
0011_000368,11,Angry,0,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Angry/0011_000368.wav,epoch_00025.pth,pca,2,3.2852964733547596,2.6211852858233384
0011_000370,11,Angry,0,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Angry/0011_000370.wav,epoch_00025.pth,pca,2,3.0897251718815943,2.1337983340295676
0011_000371,11,Angry,0,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Angry/0011_000371.wav,epoch_00025.pth,pca,2,2.902682204719033,1.931611283176865
0011_000374,11,Angry,0,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Angry/0011_000374.wav,epoch_00025.pth,pca,2,2.6140877311381767,3.6209784893522627
0011_000376,11,Angry,0,/home/bashar/Study/PhD/Semester_3/Projects/StarGANv2VC/StarGANv2-VC/Data/ESD_DATA_24KHz/0011/Angry/0011_000376.wav,epoch_00025.pth,pca,2,2.6297447397973492,2.893491199544346
